MaterialTicker,ExchangeCode,CompanyId,CompanyName,CompanyCode,ItemCount,ItemCost
AAR,AI1,dec7a7a7b7f79fe553a6f73eb9abff90,AceBaron,AB,1,15000
AAR,AI1,f88088c1a664e25f76edc6f5f5466f4e,Atlas,AT,32,15999
AAR,AI1,f88088c1a664e25f76edc6f5f5466f4e,Atlas,AT,30,15999
AAR,AI1,4968eb0cd140c26922ceba136210e2e6,UniCorp,UC,1,16000
AAR,NC1,8b64ab3b54b83ae638f34b28fd46d737,T-Const,TCO,10,19999.990234375
AAR,NC1,d7750bc24f90a78371a6e00882eca0bf,RegalGoblin-Destroyer,BYEK,2,20000
AAR,NC1,2a6b4a966cc7aa5f89b2d85bf4fa5763,James,TSLA,4,18000
ABH,AI1,2a6b4a966cc7aa5f89b2d85bf4fa5763,James,TSLA,5,59000
ABH,AI1,d29c6c3d12c44b9e30daebe25c71307a,NIRCo 2,NIRC,95,70000
ABH,AI1,06b038e2fa6a783205d475223996f76a,Avalon Illuminate,VALI,6,58000
ABH,CI1,06b038e2fa6a783205d475223996f76a,Avalon Illuminate,VALI,8,55555
ABH,IC1,8718ed74bf18f6cccdaeb97851a86f60,Z Group,ZGRO,2,48999
ABH,IC1,a1a82ee4e9ed2a800442a4b1b168438e,BlastingInc,BLST,40,48888
ABH,IC1,d29c6c3d12c44b9e30daebe25c71307a,NIRCo 2,NIRC,38,70000
ABH,NC1,25c61bc4f23767627e7dacb4942bf29f,Moira Mining,MLM,1,49000
ABH,NC1,dad6774271287b6dc8416d4dc0e9dad3,Aufricers Kramladen,A1,1,50000
ABH,NC1,a1a82ee4e9ed2a800442a4b1b168438e,BlastingInc,BLST,12,48888
ABH,NC1,b8a95012387fe84906c3eb7eee58d91e,Cornerstone,CSTN,1,123277.5390625
ACS,AI1,cadf1032a02c633e4f0bb4e59489b9a6,Quasi Kool-Aid Consortium,QKAC,4,250000
ACS,CI1,0b29e6bc7347b93d2b93c127bd950e1a,Shake 'n Bake Inc,J0R,1,148500
ADE,AI1,d29c6c3d12c44b9e30daebe25c71307a,NIRCo 2,NIRC,83,70000
ADE,AI1,06b038e2fa6a783205d475223996f76a,Avalon Illuminate,VALI,6,59000
ADE,CI1,06b038e2fa6a783205d475223996f76a,Avalon Illuminate,VALI,17,48000
ADE,CI1,2a6b4a966cc7aa5f89b2d85bf4fa5763,James,TSLA,8,49000
ADE,IC1,8718ed74bf18f6cccdaeb97851a86f60,Z Group,ZGRO,2,44442
ADE,IC1,26871fc0689a3a4a2584b1c53babb53e,saalra,SAAL,2,50000
ADE,IC1,d29c6c3d12c44b9e30daebe25c71307a,NIRCo 2,NIRC,36,70000
ADE,NC1,a1a82ee4e9ed2a800442a4b1b168438e,BlastingInc,BLST,4,85000
