PlanetNaturalId,PlanetName,ExplorersGraceEnabled,SimulationPeriod,TimestampMs,NextPopulationPioneer,NextPopulationSettler,NextPopulationTechnician,NextPopulationEngineer,NextPopulationScientist,PopulationDifferencePioneer,PopulationDifferenceSettler,PopulationDifferenceTechnician,PopulationDifferenceEngineer,PopulationDifferenceScientist,AverageHappinessPioneer,AverageHappinessSettler,AverageHappinessTechnician,AverageHappinessEngineer,AverageHappinessScientist,UnemploymentRatePioneer,UnemploymentRateSettler,UnemploymentRateTechnician,UnemploymentRateEngineer,UnemploymentRateScientist,OpenJobsPioneer,OpenJobsSettler,OpenJobsTechnician,OpenJobsEngineer,OpenJobsScientist,NeedFulfillmentLifeSupport,NeedFulfillmentSafety,NeedFulfillmentHealth,NeedFulfillmentComfort,NeedFulfillmentCulture,NeedFulfillmentEducation
CH-771c,CH-771c,False,0,1643805447526,186,2,0,0,0,-14,2,0,0,0,0.20000000298023224,0.8500000238418579,0.6499999761581421,0.3499999940395355,0.25,0.699999988079071,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
CH-771c,CH-771c,False,1,1644410247526,174,3,0,0,0,-12,1,0,0,0,0.213895782828331,0.32692307233810425,0.6499999761581421,0.3499999940395355,0.25,0.6774193644523621,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
CH-771c,CH-771c,False,2,1645015047526,154,4,0,0,0,-20,1,0,0,0,0.227736696600914,0.20000000298023224,0.6499999761581421,0.3499999940395355,0.25,0.6551724076271057,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
CH-771c,CH-771c,False,3,1645619847526,139,3,0,0,0,-15,-1,0,0,0,0.25428125262260437,0.08947368711233139,0.6499999761581421,0.3499999940395355,0.25,0.6103895902633667,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
CH-771c,CH-771c,False,4,1646224647526,127,2,0,0,0,-12,-1,0,0,0,0.2862880527973175,0.042500000447034836,0.6499999761581421,0.3499999940395355,0.25,0.568345308303833,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
CH-771c,CH-771c,False,5,1646829447526,118,2,0,0,0,-9,0,0,0,0,0.325423926115036,0,0.6499999761581421,0.3499999940395355,0.25,0.5275590419769287,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
CH-771c,CH-771c,False,6,1647434247526,112,2,0,0,0,-6,0,0,0,0,0.36403343081474304,0,0.6499999761581421,0.3499999940395355,0.25,0.49152541160583496,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
CH-771c,CH-771c,False,7,1648039047526,107,2,0,0,0,-5,0,0,0,0,0.3985385298728943,0,0.6499999761581421,0.3499999940395355,0.25,0.4642857015132904,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
CH-771c,CH-771c,False,8,1648643847526,104,2,0,0,0,-3,0,0,0,0,0.4287493824958801,0,0.6499999761581421,0.3499999940395355,0.25,0.4392523467540741,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
CH-771c,CH-771c,False,9,1649248647526,102,2,0,0,0,-2,0,0,0,0,0.45256850123405457,0,0.6499999761581421,0.3499999940395355,0.25,0.42307692766189575,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
CH-771c,CH-771c,False,10,1649853447526,101,2,0,0,0,-1,0,0,0,0,0.47066956758499146,0,0.6499999761581421,0.3499999940395355,0.25,0.4117647111415863,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
CH-771c,CH-771c,False,11,1650458247526,100,2,0,0,0,-1,0,0,0,0,0.48292768001556396,0,0.6499999761581421,0.3499999940395355,0.25,0.40594059228897095,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
CH-771c,CH-771c,False,12,1651063047526,92,2,0,0,0,-8,0,0,0,0,0.29189160466194153,0,0.38999998569488525,0.20999999344348907,0.15000000596046448,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH-771c,CH-771c,False,13,1651667847526,80,2,0,0,0,-12,0,0,0,0,0.17148156464099884,0,0.22750000655651093,0.12250000238418579,0.08749999850988388,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH-771c,CH-771c,False,14,1652272647526,66,2,0,0,0,-14,0,0,0,0,0.07381770759820938,0,0.09749999642372131,0.05249999836087227,0.03750000149011612,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH-771c,CH-771c,False,15,1652877447526,53,2,0,0,0,-13,0,0,0,0,0.024702969938516617,0,0.032499998807907104,0.017500000074505806,0.012500000186264515,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH-771c,CH-771c,False,16,1653482247526,42,2,0,0,0,-11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH-771c,CH-771c,False,17,1654087047526,34,2,0,0,0,-8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH-771c,CH-771c,False,18,1654691847526,27,2,0,0,0,-7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH-771c,CH-771c,False,19,1655296647526,22,2,0,0,0,-5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH-771c,CH-771c,False,20,1655901447526,18,2,0,0,0,-4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH-771c,CH-771c,False,21,1656506247526,14,2,0,0,0,-4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH-771c,CH-771c,False,22,1657111047526,11,2,0,0,0,-3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH-771c,CH-771c,False,23,1657715847526,9,2,0,0,0,-2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
