ContractNaturalId,PlanetNaturalId,PlanetName,CreatorCompanyName,CreatorCompanyCode,MaterialName,MaterialTicker,MaterialCategory,MaterialWeight,MaterialVolume,MaterialAmount,Price,PriceCurrency,DeliveryTime,CreationTimeEpochMs,ExpiryTimeEpochMs,MinimumRating
8420,AM-783c,Ementior,Alc-o-Corp,AL,aluminiumOre,ALO,4c0430b40fbf7fa175ed4a5a13682c6f,1.350000023841858,1,100,4100,CIS,1,1663995260180,1664081660180,PENDING
8415,AM-783c,Ementior,Cox Industries,COXI,stlFuel,SF,ba98fa0cf77040a96cd8a608ad0d08e9,0.05999999865889549,0.05999999865889549,2000,14000,CIS,3,1663984533804,1664157333804,PENDING
8404,AM-783c,Ementior,Goods on Time,GOT,flux,FLX,9b32ea2333917ee2632ba7ae7675643f,0.25,0.10000000149011612,250,14500,CIS,3,1663952213943,1665680213943,PENDING
8402,AM-783c,Ementior,Goods on Time,GOT,stlFuel,SF,ba98fa0cf77040a96cd8a608ad0d08e9,0.05999999865889549,0.05999999865889549,2500,15750,CIS,3,1663952129442,1665680129442,PENDING
8401,AM-783c,Ementior,Goods on Time,GOT,stlFuel,SF,ba98fa0cf77040a96cd8a608ad0d08e9,0.05999999865889549,0.05999999865889549,2500,15750,CIS,3,1663952129265,1665680129265,PENDING
8400,AM-783c,Ementior,Goods on Time,GOT,stlFuel,SF,ba98fa0cf77040a96cd8a608ad0d08e9,0.05999999865889549,0.05999999865889549,2500,15750,CIS,3,1663952129079,1665680129079,PENDING
8382,AM-783c,Ementior,Cox Industries,COXI,basicDeckElements,BDE,ef423f673d9e8c82043b4c5c63f6b55e,0.10000000149011612,1.5,10,7500,CIS,3,1663826701513,1664690701513,PENDING
8351,AM-783c,Ementior,elder dominon,WIP,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,100,4000,CIS,3,1663643884363,1664075884363,F
8288,AM-783c,Ementior,Goods on Time,GOT,limestone,LST,79f3917448cc4f6034ece865c41aea34,2.7300000190734863,1,1000,29000,CIS,5,1663438884235,1664302884235,PENDING
8267,AM-783c,Ementior,Goods on Time,GOT,pioneerClothing,OVE,3f047ec3043bdd795fd7272d6be98799,0.019999999552965164,0.02500000037252903,100,4000,CIS,3,1663352512479,1664216512479,PENDING
8266,AM-783c,Ementior,Goods on Time,GOT,pioneerClothing,OVE,3f047ec3043bdd795fd7272d6be98799,0.019999999552965164,0.02500000037252903,100,4000,CIS,3,1663352512350,1664216512350,PENDING
8265,AM-783c,Ementior,Goods on Time,GOT,pioneerClothing,OVE,3f047ec3043bdd795fd7272d6be98799,0.019999999552965164,0.02500000037252903,100,4000,CIS,3,1663352512113,1664216512113,PENDING
8264,AM-783c,Ementior,Goods on Time,GOT,pioneerClothing,OVE,3f047ec3043bdd795fd7272d6be98799,0.019999999552965164,0.02500000037252903,100,4000,CIS,3,1663352511951,1664216511951,PENDING
8263,AM-783c,Ementior,Goods on Time,GOT,pioneerClothing,OVE,3f047ec3043bdd795fd7272d6be98799,0.019999999552965164,0.02500000037252903,100,4000,CIS,3,1663352511791,1664216511791,PENDING
8246,AM-783c,Ementior,Hanseatic League,HSL,drinkingWater,DW,3f047ec3043bdd795fd7272d6be98799,0.10000000149011612,0.10000000149011612,500,13000,CIS,5,1663262862075,1664126862075,F
8245,AM-783c,Ementior,Hanseatic League,HSL,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,500,21500,CIS,3,1663262808676,1664126808676,F
8237,AM-783c,Ementior,Hanseatic League,HSL,basicDeckElements,BDE,ef423f673d9e8c82043b4c5c63f6b55e,0.10000000149011612,1.5,14,10500,CIS,3,1663262293092,1664126293092,F

