ContractNaturalId,PlanetNaturalId,PlanetName,CreatorCompanyName,CreatorCompanyCode,MaterialName,MaterialTicker,MaterialCategory,MaterialWeight,MaterialVolume,MaterialAmount,Price,PriceCurrency,DeliveryTime,CreationTimeEpochMs,ExpiryTimeEpochMs,MinimumRating
90684,OT-580b,Montem,Ethernia,ETH,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,100,7500,NCC,3,1664202752479,1664289152479,PENDING
90680,OT-580b,Montem,Sunrise Industries,STIN,stlFuel,SF,ba98fa0cf77040a96cd8a608ad0d08e9,0.05999999865889549,0.05999999865889549,200,1960,NCC,2,1664184342654,1664443542654,PENDING
90679,OT-580b,Montem,Solomon Industries,PGI,iron,FE,cae48680d4c4e6f98d593a8c3778cb56,7.874000072479248,1,50,19000,NCC,1,1664182845817,1664355645817,PENDING
90678,OT-580b,Montem,Solomon Industries,PGI,iron,FE,cae48680d4c4e6f98d593a8c3778cb56,7.874000072479248,1,50,19000,NCC,1,1664182844719,1664355644719,PENDING
90677,OT-580b,Montem,Repetitive Constructions,RPC,settlerLuxuryTools,REP,8a0bd8b6a329c3d632da9da63c818b3d,0.006000000052154064,0.0020000000949949026,39,19752.720703125,NCC,1,1664182803586,1664614803586,C
90676,OT-580b,Montem,Repetitive Constructions,RPC,settlerClothing,EXO,3f047ec3043bdd795fd7272d6be98799,0.10000000149011612,0.05000000074505806,93,14791.650390625,NCC,1,1664182792921,1664614792921,C
90675,OT-580b,Montem,Repetitive Constructions,RPC,settlerTools,PT,3f047ec3043bdd795fd7272d6be98799,0.25,0.20000000298023224,93,28168.76953125,NCC,1,1664182783064,1664614783064,C
90674,OT-580b,Montem,Repetitive Constructions,RPC,pioneerLuxuryClothing,PWO,8a0bd8b6a329c3d632da9da63c818b3d,0.05000000074505806,0.05000000074505806,15,2683.949951171875,NCC,1,1664182693114,1664614693114,C
90673,OT-580b,Montem,Repetitive Constructions,RPC,pioneerClothing,OVE,3f047ec3043bdd795fd7272d6be98799,0.019999999552965164,0.02500000037252903,39,2777.969970703125,NCC,1,1664182681240,1664614681240,C
90663,OT-580b,Montem,Messerjack Logistics,CEO,polyEthylene,PE,6316282906a9f68b0c7bb4396a26aa95,0.009999999776482582,0.009999999776482582,4000,20000,NCC,3,1664165755935,1664597755935,PENDING
90662,OT-580b,Montem,CheezCo,CHCO,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1,40,3920,NCC,5,1664158382021,1664590382021,PENDING
90661,OT-580b,Montem,CheezCo,CHCO,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1,40,3920,NCC,5,1664158380714,1664590380714,PENDING
90660,OT-580b,Montem,CheezCo,CHCO,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1,40,3920,NCC,5,1664158379642,1664590379642,PENDING
90659,OT-580b,Montem,CheezCo,CHCO,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1,40,3920,NCC,5,1664158378380,1664590378380,PENDING
90658,OT-580b,Montem,CheezCo,CHCO,iron,FE,cae48680d4c4e6f98d593a8c3778cb56,7.874000072479248,1,10,3900,NCC,5,1664158307037,1664590307037,PENDING
90657,OT-580b,Montem,CheezCo,CHCO,iron,FE,cae48680d4c4e6f98d593a8c3778cb56,7.874000072479248,1,10,3900,NCC,5,1664158305605,1664590305605,PENDING
90656,OT-580b,Montem,CheezCo,CHCO,iron,FE,cae48680d4c4e6f98d593a8c3778cb56,7.874000072479248,1,10,3900,NCC,5,1664158304299,1664590304299,PENDING
90655,OT-580b,Montem,CheezCo,CHCO,iron,FE,cae48680d4c4e6f98d593a8c3778cb56,7.874000072479248,1,10,3900,NCC,5,1664158302920,1664590302920,PENDING
90654,OT-580b,Montem,CheezCo,CHCO,iron,FE,cae48680d4c4e6f98d593a8c3778cb56,7.874000072479248,1,10,3900,NCC,5,1664158301210,1664590301210,PENDING
90647,OT-580b,Montem,Allox Corporation,ALLX,ironOre,FEO,4c0430b40fbf7fa175ed4a5a13682c6f,5.900000095367432,1,50,1800,NCC,5,1664146936574,1664406136574,PENDING
90641,OT-580b,Montem,Compound,GAIN,hydrogen,H,54dec1e42eba44dda423dd774393326a,0.07000000029802322,1,500,45000,NCC,3,1664133521428,1664997521428,PENDING
90640,OT-580b,Montem,Compound,GAIN,hydrogen,H,54dec1e42eba44dda423dd774393326a,0.07000000029802322,1,500,45000,NCC,3,1664133515512,1664997515512,PENDING
90639,OT-580b,Montem,Compound,GAIN,iron,FE,cae48680d4c4e6f98d593a8c3778cb56,7.874000072479248,1,100,38500,NCC,3,1664133497636,1664997497636,PENDING
90638,OT-580b,Montem,Compound,GAIN,iron,FE,cae48680d4c4e6f98d593a8c3778cb56,7.874000072479248,1,100,38500,NCC,3,1664133496803,1664997496803,PENDING
90637,OT-580b,Montem,Compound,GAIN,iron,FE,cae48680d4c4e6f98d593a8c3778cb56,7.874000072479248,1,100,38500,NCC,3,1664133495869,1664997495869,PENDING
90635,OT-580b,Montem,Compound,GAIN,limestone,LST,79f3917448cc4f6034ece865c41aea34,2.7300000190734863,1,100,10000,NCC,3,1664133479441,1664997479441,PENDING
90634,OT-580b,Montem,Compound,GAIN,halite,HAL,79f3917448cc4f6034ece865c41aea34,2.1700000762939453,1,100,30000,NCC,3,1664133464419,1664997464419,PENDING
90633,OT-580b,Montem,Compound,GAIN,halite,HAL,79f3917448cc4f6034ece865c41aea34,2.1700000762939453,1,100,30000,NCC,3,1664133458724,1664997458724,PENDING
90632,OT-580b,Montem,Compound,GAIN,halite,HAL,79f3917448cc4f6034ece865c41aea34,2.1700000762939453,1,100,30000,NCC,3,1664133457521,1664997457521,PENDING
90631,OT-580b,Montem,Compound,GAIN,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1,100,8000,NCC,3,1664133315525,1664997315525,PENDING
90628,OT-580b,Montem,Bodum Element,BEBE,largePlasticsBoard,PSL,6316282906a9f68b0c7bb4396a26aa95,0.07999999821186066,0.800000011920929,12,18000,NCC,5,1664130986483,1664562986483,PENDING
90624,OT-580b,Montem,Bodum Element,BEBE,basicStructuralElements,BSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.5,55,44000,NCC,5,1664130871615,1664562871615,PENDING
90619,OT-580b,Montem,Bodum Element,BEBE,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,384,17280,NCC,5,1664130615443,1664562615443,PENDING
