ContractNaturalId,PlanetNaturalId,PlanetName,CreatorCompanyName,CreatorCompanyCode,MaterialName,MaterialTicker,MaterialCategory,MaterialWeight,MaterialVolume,MaterialAmount,Price,PriceCurrency,DeliveryTime,CreationTimeEpochMs,ExpiryTimeEpochMs,MinimumRating
78415,UV-796b,Proxion,Noxe Comp,NOXE,pioneerClothing,OVE,3f047ec3043bdd795fd7272d6be98799,0.019999999552965164,0.02500000037252903,30,2400,CIS,1,1664011892574,1664271092574,PENDING
78414,UV-796b,Proxion,Sonny147,S147,limestone,LST,79f3917448cc4f6034ece865c41aea34,2.7300000190734863,1,183,8500,CIS,2,1664010518671,1664442518671,PENDING
78413,UV-796b,Proxion,Mindstar,MNDS,mineralConstructionGranulate,MCG,156bbcce730fba6169338d560f05fd26,0.23999999463558197,0.10000000149011612,1000,13000,CIS,3,1664008671879,1664613471879,PENDING
78412,UV-796b,Proxion,Mindstar,MNDS,mineralConstructionGranulate,MCG,156bbcce730fba6169338d560f05fd26,0.23999999463558197,0.10000000149011612,1000,13000,CIS,3,1664008669888,1664613469888,PENDING
78409,UV-796b,Proxion,Alc-o-Corp,AL,largePlasticsBoard,PSL,6316282906a9f68b0c7bb4396a26aa95,0.07999999821186066,0.800000011920929,12,12600,CIS,1,1664005281849,1664091681849,F
78408,UV-796b,Proxion,Hanseatic League,HSL,carbon,C,ef1d03e7ef924395c2173fc4e4ee8a6f,2.25,1,100,21000,CIS,10,1664003838670,1664263038670,F
78406,UV-796b,Proxion,Icarus Legion,ICL,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,250,10000,CIS,3,1663996590624,1664860590624,F
78405,UV-796b,Proxion,Icarus Legion,ICL,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,250,10000,CIS,3,1663996584582,1664860584582,F
78403,UV-796b,Proxion,Icarus Legion,ICL,lightweightWindow,LTA,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.5,4,4200,CIS,3,1663995345805,1664427345805,F
78402,UV-796b,Proxion,Icarus Legion,ICL,lightweightWindow,LTA,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.5,4,4200,CIS,3,1663995336796,1664427336796,F
78401,UV-796b,Proxion,Icarus Legion,ICL,lightweightStructuralElements,LSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,1.2000000476837158,4,10000,CIS,3,1663995291049,1664427291049,F
78400,UV-796b,Proxion,Icarus Legion,ICL,lightweightStructuralElements,LSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,1.2000000476837158,4,10000,CIS,3,1663995284370,1664427284370,F
78399,UV-796b,Proxion,Icarus Legion,ICL,lightweightDeckElements,LDE,ef423f673d9e8c82043b4c5c63f6b55e,0.10000000149011612,1.2000000476837158,4,9400,CIS,3,1663995237654,1664427237654,F
78398,UV-796b,Proxion,Icarus Legion,ICL,lightweightDeckElements,LDE,ef423f673d9e8c82043b4c5c63f6b55e,0.10000000149011612,1.2000000476837158,4,9400,CIS,3,1663995233891,1664427233891,F
78397,UV-796b,Proxion,Alc-o-Corp,AL,technicianLuxuryDrink,ALE,8a0bd8b6a329c3d632da9da63c818b3d,0.10000000149011612,0.10000000149011612,20,6400,CIS,1,1663995113653,1664167913653,PENDING
78396,UV-796b,Proxion,Alc-o-Corp,AL,technicianLuxuryDrink,ALE,8a0bd8b6a329c3d632da9da63c818b3d,0.10000000149011612,0.10000000149011612,20,6400,CIS,1,1663995112522,1664167912522,PENDING
78395,UV-796b,Proxion,Alc-o-Corp,AL,technicianLuxuryDrink,ALE,8a0bd8b6a329c3d632da9da63c818b3d,0.10000000149011612,0.10000000149011612,20,6400,CIS,1,1663995111068,1664167911068,PENDING
78393,UV-796b,Proxion,Cox Industries,COXI,stlFuel,SF,ba98fa0cf77040a96cd8a608ad0d08e9,0.05999999865889549,0.05999999865889549,2000,14000,CIS,3,1663987644666,1664160444666,PENDING
78371,UV-796b,Proxion,FireFuels,FFL,settlerLuxuryDrink,KOM,8a0bd8b6a329c3d632da9da63c818b3d,0.10000000149011612,0.10000000149011612,100,19500,CIS,3,1663965168302,1664397168302,F
78368,UV-796b,Proxion,FireFuels,FFL,settlerClothing,EXO,3f047ec3043bdd795fd7272d6be98799,0.10000000149011612,0.05000000074505806,50,4250,CIS,3,1663965120683,1664397120683,F
78366,UV-796b,Proxion,FireFuels,FFL,pioneerLuxuryDrink,COF,8a0bd8b6a329c3d632da9da63c818b3d,0.10000000149011612,0.10000000149011612,50,12500,CIS,3,1663965086072,1664397086072,F
78364,UV-796b,Proxion,FireFuels,FFL,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,250,10000,CIS,3,1663965003064,1664397003064,F
78363,UV-796b,Proxion,FireFuels,FFL,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,250,10000,CIS,3,1663965001439,1664397001439,F
78362,UV-796b,Proxion,FireFuels,FFL,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,250,10000,CIS,3,1663965000225,1664397000225,F
78350,UV-796b,Proxion,Icarus Legion,ICL,hydrogen,H,54dec1e42eba44dda423dd774393326a,0.07000000029802322,1,100,5800,CIS,3,1663960979341,1664133779341,F
78344,UV-796b,Proxion,Alc-o-Corp,AL,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,1000,13000,CIS,1,1663955513922,1664128313922,PENDING
78343,UV-796b,Proxion,Alc-o-Corp,AL,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,1000,13000,CIS,1,1663955512803,1664128312803,PENDING
78342,UV-796b,Proxion,Alc-o-Corp,AL,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,1000,13000,CIS,1,1663955510965,1664128310965,PENDING
78338,UV-796b,Proxion,Goods on Time,GOT,pioneerLuxuryDrink,COF,8a0bd8b6a329c3d632da9da63c818b3d,0.10000000149011612,0.10000000149011612,100,25000,CIS,3,1663952489709,1664816489709,PENDING
78337,UV-796b,Proxion,Goods on Time,GOT,pioneerLuxuryDrink,COF,8a0bd8b6a329c3d632da9da63c818b3d,0.10000000149011612,0.10000000149011612,100,25000,CIS,3,1663952489261,1664816489261,PENDING
78336,UV-796b,Proxion,Goods on Time,GOT,pioneerLuxuryDrink,COF,8a0bd8b6a329c3d632da9da63c818b3d,0.10000000149011612,0.10000000149011612,100,25000,CIS,3,1663952489122,1664816489122,PENDING
78335,UV-796b,Proxion,Goods on Time,GOT,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,1000,40000,CIS,3,1663952459908,1664816459908,PENDING
78334,UV-796b,Proxion,Goods on Time,GOT,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,1000,40000,CIS,3,1663952457846,1664816457846,PENDING
78333,UV-796b,Proxion,Goods on Time,GOT,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,1000,40000,CIS,3,1663952457712,1664816457712,PENDING
78265,UV-796b,Proxion,Juniper Galactic Corp,JGC,engineerLuxuryDrink,GIN,8a0bd8b6a329c3d632da9da63c818b3d,0.10000000149011612,0.10000000149011612,50,24000,CIS,3,1663898651934,1664330651934,F
78262,UV-796b,Proxion,Juniper Galactic Corp,JGC,technicianHealth,MED,3f047ec3043bdd795fd7272d6be98799,0.30000001192092896,0.10000000149011612,50,15500,CIS,3,1663898535485,1664330535485,F
78259,UV-796b,Proxion,Juniper Galactic Corp,JGC,technicianLuxuryDrink,ALE,8a0bd8b6a329c3d632da9da63c818b3d,0.10000000149011612,0.10000000149011612,50,16000,CIS,3,1663898508074,1664330508074,F
