ContractNaturalId,PlanetNaturalId,PlanetName,CreatorCompanyName,CreatorCompanyCode,MaterialName,MaterialTicker,MaterialCategory,MaterialWeight,MaterialVolume,MaterialAmount,Price,PriceCurrency,DeliveryTime,CreationTimeEpochMs,ExpiryTimeEpochMs,MinimumRating
58860,VH-331a,Promitor,Sonny147,S147,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1,438,18000,ICA,2,1664011957600,1664443957600,PENDING
58857,VH-331a,Promitor,Swanada Inc.,OGPK,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,2500,60000,ICA,3,1664010640496,1664183440496,PENDING
58856,VH-331a,Promitor,Swanada Inc.,OGPK,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,2500,60000,ICA,3,1664010622626,1664183422626,PENDING
58852,VH-331a,Promitor,Station Gator Resources Ltd,GAT,pioneerLuxuryDrink,COF,8a0bd8b6a329c3d632da9da63c818b3d,0.10000000149011612,0.10000000149011612,10,3150,ICA,3,1664007418670,1664093818670,PENDING
58851,VH-331a,Promitor,Station Gator Resources Ltd,GAT,pioneerLuxuryDrink,COF,8a0bd8b6a329c3d632da9da63c818b3d,0.10000000149011612,0.10000000149011612,10,3150,ICA,3,1664007415771,1664093815771,PENDING
58850,VH-331a,Promitor,Station Gator Resources Ltd,GAT,pioneerLuxuryDrink,COF,8a0bd8b6a329c3d632da9da63c818b3d,0.10000000149011612,0.10000000149011612,10,3150,ICA,3,1664007413238,1664093813238,PENDING
58828,VH-331a,Promitor,Storm Yumyums,ZSY,polymerGranulate,PG,6316282906a9f68b0c7bb4396a26aa95,0.0020000000949949026,0.0010000000474974513,500,14800,ICA,3,1663976445849,1664062845849,PENDING
58827,VH-331a,Promitor,Storm Yumyums,ZSY,aluminium,AL,cae48680d4c4e6f98d593a8c3778cb56,2.700000047683716,1,25,12600,ICA,3,1663976343201,1664062743201,PENDING
58825,VH-331a,Promitor,EvoV1980,EVOV,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,1000,21000,ICA,3,1663969893076,1664401893076,PENDING
58824,VH-331a,Promitor,EvoV1980,EVOV,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,1000,21000,ICA,3,1663969890180,1664401890180,PENDING
58823,VH-331a,Promitor,EvoV1980,EVOV,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,1000,21000,ICA,3,1663969888350,1664401888350,PENDING
58822,VH-331a,Promitor,EvoV1980,EVOV,mushrooms,MUS,510e7751c0eb6a51fd0fa73565365d1c,0.800000011920929,1,100,10000,ICA,3,1663968856165,1664400856165,PENDING
58808,VH-331a,Promitor,Emergent Enterprises Co,EECO,carbohydrateMaize,MAI,510e7751c0eb6a51fd0fa73565365d1c,1.2999999523162842,1,100,10000,ICA,3,1663940899189,1664372899189,PENDING
58807,VH-331a,Promitor,Emergent Enterprises Co,EECO,proteinBeans,BEA,510e7751c0eb6a51fd0fa73565365d1c,0.800000011920929,1,100,10000,ICA,3,1663940891756,1664372891756,PENDING
58806,VH-331a,Promitor,Emergent Enterprises Co,EECO,proteinBeans,BEA,510e7751c0eb6a51fd0fa73565365d1c,0.800000011920929,1,100,10000,ICA,3,1663940890429,1664372890429,PENDING
58805,VH-331a,Promitor,Emergent Enterprises Co,EECO,proteinBeans,BEA,510e7751c0eb6a51fd0fa73565365d1c,0.800000011920929,1,100,10000,ICA,3,1663940889442,1664372889442,PENDING
58801,VH-331a,Promitor,Natural Mystic,NMY,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,100,6000,ICA,1,1663936911793,1664109711793,PENDING
