ContractNaturalId,PlanetNaturalId,PlanetName,CreatorCompanyName,CreatorCompanyCode,MaterialName,MaterialTicker,MaterialCategory,MaterialWeight,MaterialVolume,MaterialAmount,Price,PriceCurrency,DeliveryTime,CreationTimeEpochMs,ExpiryTimeEpochMs,MinimumRating
1072,XH-594a,Libertas,Icarus Legion,ICL,basicStructuralElements,BSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.5,14,7700,CIS,3,1663998232173,1664084632173,F
1071,XH-594a,Libertas,Icarus Legion,ICL,basicStructuralElements,BSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.5,14,7700,CIS,3,1663998230195,1664084630195,F
1070,XH-594a,Libertas,Icarus Legion,ICL,basicStructuralElements,BSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.5,14,7700,CIS,3,1663998219912,1664084619912,F
1069,XH-594a,Libertas,Icarus Legion,ICL,basicWindow,BTA,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.4000000059604645,3,1530,CIS,3,1663998137670,1664084537670,F
1063,XH-594a,Libertas,Icarus Legion,ICL,limestone,LST,79f3917448cc4f6034ece865c41aea34,2.7300000190734863,1,100,6300,CIS,3,1663871361234,1664735361234,F
1062,XH-594a,Libertas,Icarus Legion,ICL,limestone,LST,79f3917448cc4f6034ece865c41aea34,2.7300000190734863,1,100,6300,CIS,3,1663871359467,1664735359467,F
1054,XH-594a,Libertas,Saltu,SLTU,polyEthylene,PE,6316282906a9f68b0c7bb4396a26aa95,0.009999999776482582,0.009999999776482582,10000,31100,CIS,3,1663739772326,1664603772326,F
1053,XH-594a,Libertas,Saltu,SLTU,polyEthylene,PE,6316282906a9f68b0c7bb4396a26aa95,0.009999999776482582,0.009999999776482582,10000,31100,CIS,3,1663739771570,1664603771570,F
1052,XH-594a,Libertas,Juniper Galactic Corp,JGC,polyEthylene,PE,6316282906a9f68b0c7bb4396a26aa95,0.009999999776482582,0.009999999776482582,5000,15500,CIS,3,1663725762793,1664157762793,PENDING
1048,XH-594a,Libertas,KumaBear Commodities,KUMA,polyEthylene,PE,6316282906a9f68b0c7bb4396a26aa95,0.009999999776482582,0.009999999776482582,10000,31111,CIS,3,1663636435668,1664586835668,F
997,XH-594a,Libertas,Icarus Legion,ICL,aluminium,AL,cae48680d4c4e6f98d593a8c3778cb56,2.700000047683716,1,10,2850,CIS,3,1663214476677,1664078476677,PENDING

