ContractNaturalId,PlanetNaturalId,PlanetName,CreatorCompanyName,CreatorCompanyCode,MaterialName,MaterialTicker,MaterialCategory,MaterialWeight,MaterialVolume,MaterialAmount,Price,PriceCurrency,DeliveryTime,CreationTimeEpochMs,ExpiryTimeEpochMs,MinimumRating
6687,XH-594b,Kiruna,Juniper Galactic Corp,JGC,ironOre,FEO,4c0430b40fbf7fa175ed4a5a13682c6f,5.900000095367432,1,200,5400,CIS,3,1663858176379,1664290176379,F
6686,XH-594b,Kiruna,Juniper Galactic Corp,JGC,ironOre,FEO,4c0430b40fbf7fa175ed4a5a13682c6f,5.900000095367432,1,200,5400,CIS,3,1663858175654,1664290175654,F
6685,XH-594b,Kiruna,Juniper Galactic Corp,JGC,ironOre,FEO,4c0430b40fbf7fa175ed4a5a13682c6f,5.900000095367432,1,200,5400,CIS,3,1663858174748,1664290174748,F
6680,XH-594b,Kiruna,Saltu,SLTU,ironOre,FEO,4c0430b40fbf7fa175ed4a5a13682c6f,5.900000095367432,1,200,5400,CIS,3,1663786732175,1664737132175,F
6679,XH-594b,Kiruna,Saltu,SLTU,ironOre,FEO,4c0430b40fbf7fa175ed4a5a13682c6f,5.900000095367432,1,200,5400,CIS,3,1663786731315,1664737131315,F
6678,XH-594b,Kiruna,Saltu,SLTU,ironOre,FEO,4c0430b40fbf7fa175ed4a5a13682c6f,5.900000095367432,1,200,5400,CIS,3,1663786730755,1664737130755,F
6677,XH-594b,Kiruna,Saltu,SLTU,ironOre,FEO,4c0430b40fbf7fa175ed4a5a13682c6f,5.900000095367432,1,200,5400,CIS,3,1663786729826,1664737129826,F
6655,XH-594b,Kiruna,Plex Industries,PLEX,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1,100,10000,CIS,3,1663713733691,1666305733691,PENDING
6654,XH-594b,Kiruna,Plex Industries,PLEX,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1,100,10000,CIS,3,1663713732629,1666305732629,PENDING
6604,XH-594b,Kiruna,Hanseatic League,HSL,aluminium,AL,cae48680d4c4e6f98d593a8c3778cb56,2.700000047683716,1,20,5600,CIS,3,1663419967288,1664283967288,F
6603,XH-594b,Kiruna,Hanseatic League,HSL,aluminium,AL,cae48680d4c4e6f98d593a8c3778cb56,2.700000047683716,1,20,5600,CIS,3,1663419965766,1664283965766,F
6576,XH-594b,Kiruna,Saltu,SLTU,halite,HAL,79f3917448cc4f6034ece865c41aea34,2.1700000762939453,1,200,15800,CIS,3,1663348734883,1664126334883,F
6574,XH-594b,Kiruna,Saltu,SLTU,halite,HAL,79f3917448cc4f6034ece865c41aea34,2.1700000762939453,1,200,15800,CIS,3,1663348733693,1664126333693,F
6568,XH-594b,Kiruna,Hanseatic League,HSL,steel,STL,cae48680d4c4e6f98d593a8c3778cb56,7.849999904632568,1,20,11200,CIS,3,1663327734490,1664191734490,F
6567,XH-594b,Kiruna,Hanseatic League,HSL,steel,STL,cae48680d4c4e6f98d593a8c3778cb56,7.849999904632568,1,20,11200,CIS,3,1663327729499,1664191729499,F

