ContractNaturalId,PlanetNaturalId,PlanetName,CreatorCompanyName,CreatorCompanyCode,MaterialName,MaterialTicker,MaterialCategory,MaterialWeight,MaterialVolume,MaterialAmount,Price,PriceCurrency,DeliveryTime,CreationTimeEpochMs,ExpiryTimeEpochMs,MinimumRating
33559,ZV-759c,Deimos,Jules_Smeg,SME,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1,200,15000,AIC,1,1664152911565,1664584911565,PENDING
33558,ZV-759c,Deimos,Jules_Smeg,SME,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1,200,15000,AIC,1,1664152909263,1664584909263,PENDING
33517,ZV-759c,Deimos,Viggle,VGL,universalToolset,UTS,4eb124000ee0e38af1daf5aced313823,0.05000000074505806,0.05000000074505806,8,20000,AIC,3,1664082104801,1664514104801,PENDING
33502,ZV-759c,Deimos,Terrascape,TER,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1,100,12000,AIC,3,1664081217752,1664945217752,PENDING
33501,ZV-759c,Deimos,Terrascape,TER,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1,100,12000,AIC,3,1664081216929,1664945216929,PENDING
33444,ZV-759c,Deimos,Viggle,VGL,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1,200,14000,AIC,3,1663986549273,1664418549273,PENDING
33443,ZV-759c,Deimos,Viggle,VGL,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1,200,14000,AIC,3,1663986547439,1664418547439,PENDING
33437,ZV-759c,Deimos,Non-Refundable Industries,NFUN,ironOre,FEO,4c0430b40fbf7fa175ed4a5a13682c6f,5.900000095367432,1,100,10000,AIC,2,1663967457958,1664831457958,PENDING
33436,ZV-759c,Deimos,Non-Refundable Industries,NFUN,ironOre,FEO,4c0430b40fbf7fa175ed4a5a13682c6f,5.900000095367432,1,100,10000,AIC,2,1663967456841,1664831456841,PENDING
33435,ZV-759c,Deimos,Non-Refundable Industries,NFUN,ironOre,FEO,4c0430b40fbf7fa175ed4a5a13682c6f,5.900000095367432,1,100,10000,AIC,2,1663967455391,1664831455391,PENDING
33434,ZV-759c,Deimos,Non-Refundable Industries,NFUN,ironOre,FEO,4c0430b40fbf7fa175ed4a5a13682c6f,5.900000095367432,1,100,10000,AIC,2,1663967454464,1664831454464,PENDING
33397,ZV-759c,Deimos,Sukebe Resources LLC,SCGK,basicStructuralElements,BSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.5,150,150000,AIC,5,1663878868934,1664310868934,A
33396,ZV-759c,Deimos,Sukebe Resources LLC,SCGK,basicDeckElements,BDE,ef423f673d9e8c82043b4c5c63f6b55e,0.10000000149011612,1.5,52,62400,AIC,5,1663878844152,1664310844152,A
33395,ZV-759c,Deimos,Sukebe Resources LLC,SCGK,basicBulkhead,BBH,ef423f673d9e8c82043b4c5c63f6b55e,0.5,0.800000011920929,68,68000,AIC,5,1663878822421,1664310822421,A
33389,ZV-759c,Deimos,Plex Industries,PLEX,ironOre,FEO,4c0430b40fbf7fa175ed4a5a13682c6f,5.900000095367432,1,84,10000,AIC,3,1663878769450,1666470769450,PENDING
33388,ZV-759c,Deimos,Sukebe Resources LLC,SCGK,mineralConstructionGranulate,MCG,156bbcce730fba6169338d560f05fd26,0.23999999463558197,0.10000000149011612,1392,20880,AIC,5,1663878453594,1664310453594,A
33387,ZV-759c,Deimos,Sukebe Resources LLC,SCGK,basicWindow,BTA,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.4000000059604645,8,8000,AIC,5,1663878415929,1664310415929,A
33355,ZV-759c,Deimos," Swift Mining Group",SMG,aluminium,AL,cae48680d4c4e6f98d593a8c3778cb56,2.700000047683716,1,100,42000,AIC,3,1663847796525,1665575796525,PENDING
33353,ZV-759c,Deimos," Swift Mining Group",SMG,aluminium,AL,cae48680d4c4e6f98d593a8c3778cb56,2.700000047683716,1,100,42000,AIC,3,1663847795254,1665575795254,PENDING
33352,ZV-759c,Deimos," Swift Mining Group",SMG,aluminium,AL,cae48680d4c4e6f98d593a8c3778cb56,2.700000047683716,1,100,42000,AIC,3,1663847794644,1665575794644,PENDING
33351,ZV-759c,Deimos," Swift Mining Group",SMG,aluminium,AL,cae48680d4c4e6f98d593a8c3778cb56,2.700000047683716,1,100,42000,AIC,3,1663847793730,1665575793730,PENDING
33350,ZV-759c,Deimos," Swift Mining Group",SMG,aluminium,AL,cae48680d4c4e6f98d593a8c3778cb56,2.700000047683716,1,100,42000,AIC,3,1663847793251,1665575793251,PENDING
33349,ZV-759c,Deimos," Swift Mining Group",SMG,aluminium,AL,cae48680d4c4e6f98d593a8c3778cb56,2.700000047683716,1,100,42000,AIC,3,1663847792886,1665575792886,PENDING
33345,ZV-759c,Deimos," Swift Mining Group",SMG,aluminium,AL,cae48680d4c4e6f98d593a8c3778cb56,2.700000047683716,1,100,42000,AIC,3,1663847791084,1665575791084,PENDING
33332,ZV-759c,Deimos,Icarus Legion,ICL,siliconOre,SIO,4c0430b40fbf7fa175ed4a5a13682c6f,1.7899999618530273,1,100,5700,CIS,3,1663818666079,1664250666079,F
33331,ZV-759c,Deimos,Icarus Legion,ICL,aluminiumOre,ALO,4c0430b40fbf7fa175ed4a5a13682c6f,1.350000023841858,1,200,7000,CIS,3,1663818645138,1664250645138,F
33323,ZV-759c,Deimos,Terrascape,TER,flux,FLX,9b32ea2333917ee2632ba7ae7675643f,0.25,0.10000000149011612,200,25000,AIC,3,1663806842032,1664670842032,PENDING
33319,ZV-759c,Deimos,DarkFuel,DAF,basicBulkhead,BBH,ef423f673d9e8c82043b4c5c63f6b55e,0.5,0.800000011920929,50,50000,NCC,3,1663793553174,1664225553174,PENDING
33215,ZV-759c,Deimos,Plex Industries,PLEX,ironOre,FEO,4c0430b40fbf7fa175ed4a5a13682c6f,5.900000095367432,1,100,10000,AIC,3,1663670243097,1666262243097,PENDING
33214,ZV-759c,Deimos,Plex Industries,PLEX,ironOre,FEO,4c0430b40fbf7fa175ed4a5a13682c6f,5.900000095367432,1,100,10000,AIC,3,1663670241698,1666262241698,PENDING
33213,ZV-759c,Deimos,Plex Industries,PLEX,ironOre,FEO,4c0430b40fbf7fa175ed4a5a13682c6f,5.900000095367432,1,100,10000,AIC,3,1663670240654,1666262240654,PENDING
33212,ZV-759c,Deimos,Plex Industries,PLEX,ironOre,FEO,4c0430b40fbf7fa175ed4a5a13682c6f,5.900000095367432,1,100,10000,AIC,3,1663670239860,1666262239860,PENDING
33211,ZV-759c,Deimos,Plex Industries,PLEX,ironOre,FEO,4c0430b40fbf7fa175ed4a5a13682c6f,5.900000095367432,1,100,10000,AIC,3,1663670239151,1666262239151,PENDING
33210,ZV-759c,Deimos,Plex Industries,PLEX,ironOre,FEO,4c0430b40fbf7fa175ed4a5a13682c6f,5.900000095367432,1,100,10000,AIC,3,1663670238089,1666262238089,PENDING
33050,ZV-759c,Deimos,Interstellar Gaia,INGA,aluminiumOre,ALO,4c0430b40fbf7fa175ed4a5a13682c6f,1.350000023841858,1,500,20000,AIC,10,1663443958430,1664307958430,C

