ContractNaturalId,PlanetNaturalId,PlanetName,CreatorCompanyName,CreatorCompanyCode,MaterialName,MaterialTicker,MaterialCategory,MaterialWeight,MaterialVolume,MaterialAmount,Price,PriceCurrency,DeliveryTime,CreationTimeEpochMs,ExpiryTimeEpochMs,MinimumRating
90527,OT-580b,Montem,Kerplunk Wiggle Factory,KRWF,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,1000,90000,NCC,3,1663957561239,1664043961239,PENDING
90526,OT-580b,Montem,Sunrise Industries,STIN,basicBulkhead,BBH,ef423f673d9e8c82043b4c5c63f6b55e,0.5,0.800000011920929,10,16000,NCC,2,1663954157943,1664213357943,PENDING
90525,OT-580b,Montem,Sunrise Industries,STIN,steel,STL,cae48680d4c4e6f98d593a8c3778cb56,7.849999904632568,1,10,11500,NCC,2,1663954123917,1664213323917,PENDING
90514,OT-580b,Montem,Skyprod,SKYP,polymerGranulate,PG,6316282906a9f68b0c7bb4396a26aa95,0.0020000000949949026,0.0010000000474974513,1000,28000,NCC,1,1663936888243,1664023288243,PENDING
90510,OT-580b,Montem,CheezCo,CHCO,limestone,LST,79f3917448cc4f6034ece865c41aea34,2.7300000190734863,1,110,13750,NCC,5,1663922536772,1664354536772,PENDING
90494,OT-580b,Montem,Kaan Enterprise,KAAN,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,50,1500,NCC,3,1663875260574,1664307260574,PENDING
90493,OT-580b,Montem,Kaan Enterprise,KAAN,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,100,3000,NCC,3,1663875247642,1664307247642,PENDING
90492,OT-580b,Montem,Kaan Enterprise,KAAN,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,100,3000,NCC,3,1663875230348,1664307230348,PENDING
90451,OT-580b,Montem,Snook Industries,SNI,basicBulkhead,BBH,ef423f673d9e8c82043b4c5c63f6b55e,0.5,0.800000011920929,10,17000,NCC,1,1663781223313,1664213223313,PENDING
90450,OT-580b,Montem,Snook Industries,SNI,basicBulkhead,BBH,ef423f673d9e8c82043b4c5c63f6b55e,0.5,0.800000011920929,10,17000,NCC,1,1663781221853,1664213221853,PENDING
90449,OT-580b,Montem,Snook Industries,SNI,basicBulkhead,BBH,ef423f673d9e8c82043b4c5c63f6b55e,0.5,0.800000011920929,10,17000,NCC,1,1663781220217,1664213220217,PENDING
90448,OT-580b,Montem,Snook Industries,SNI,basicBulkhead,BBH,ef423f673d9e8c82043b4c5c63f6b55e,0.5,0.800000011920929,10,17000,NCC,1,1663781218753,1664213218753,PENDING
90447,OT-580b,Montem,Snook Industries,SNI,basicBulkhead,BBH,ef423f673d9e8c82043b4c5c63f6b55e,0.5,0.800000011920929,10,17000,NCC,1,1663781217814,1664213217814,PENDING
90446,OT-580b,Montem,Snook Industries,SNI,basicBulkhead,BBH,ef423f673d9e8c82043b4c5c63f6b55e,0.5,0.800000011920929,10,17000,NCC,1,1663781216929,1664213216929,PENDING
90445,OT-580b,Montem,Snook Industries,SNI,basicBulkhead,BBH,ef423f673d9e8c82043b4c5c63f6b55e,0.5,0.800000011920929,10,17000,NCC,1,1663781216037,1664213216037,PENDING
90444,OT-580b,Montem,Snook Industries,SNI,basicBulkhead,BBH,ef423f673d9e8c82043b4c5c63f6b55e,0.5,0.800000011920929,10,17000,NCC,1,1663781215134,1664213215134,PENDING
90441,OT-580b,Montem,Snook Industries,SNI,basicStructuralElements,BSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.5,10,15000,NCC,1,1663781192392,1664213192392,PENDING
90440,OT-580b,Montem,Snook Industries,SNI,basicStructuralElements,BSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.5,10,15000,NCC,1,1663781169092,1664213169092,PENDING
90439,OT-580b,Montem,Snook Industries,SNI,basicStructuralElements,BSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.5,10,15000,NCC,1,1663781168097,1664213168097,PENDING
90438,OT-580b,Montem,Snook Industries,SNI,basicStructuralElements,BSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.5,10,15000,NCC,1,1663781167329,1664213167329,PENDING
90437,OT-580b,Montem,Snook Industries,SNI,basicStructuralElements,BSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.5,10,15000,NCC,1,1663781166595,1664213166595,PENDING
90436,OT-580b,Montem,Snook Industries,SNI,basicStructuralElements,BSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.5,10,15000,NCC,1,1663781165819,1664213165819,PENDING
90435,OT-580b,Montem,Snook Industries,SNI,basicStructuralElements,BSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.5,10,15000,NCC,1,1663781165141,1664213165141,PENDING
90434,OT-580b,Montem,Snook Industries,SNI,basicStructuralElements,BSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.5,10,15000,NCC,1,1663781164399,1664213164399,PENDING
90433,OT-580b,Montem,Snook Industries,SNI,basicStructuralElements,BSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.5,10,15000,NCC,1,1663781163677,1664213163677,PENDING
90432,OT-580b,Montem,Snook Industries,SNI,basicStructuralElements,BSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.5,10,15000,NCC,1,1663781162944,1664213162944,PENDING
90431,OT-580b,Montem,Snook Industries,SNI,basicStructuralElements,BSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.5,10,15000,NCC,1,1663781162210,1664213162210,PENDING
90430,OT-580b,Montem,Snook Industries,SNI,basicStructuralElements,BSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.5,10,15000,NCC,1,1663781161466,1664213161466,PENDING
90429,OT-580b,Montem,Snook Industries,SNI,basicStructuralElements,BSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.5,10,15000,NCC,1,1663781160800,1664213160800,PENDING
90428,OT-580b,Montem,Snook Industries,SNI,basicStructuralElements,BSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.5,10,15000,NCC,1,1663781160107,1664213160107,PENDING
90427,OT-580b,Montem,Snook Industries,SNI,basicStructuralElements,BSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.5,10,15000,NCC,1,1663781159442,1664213159442,PENDING
90426,OT-580b,Montem,Snook Industries,SNI,basicStructuralElements,BSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.5,10,15000,NCC,1,1663781158709,1664213158709,PENDING
90425,OT-580b,Montem,Snook Industries,SNI,basicStructuralElements,BSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.5,10,15000,NCC,1,1663781157740,1664213157740,PENDING
90424,OT-580b,Montem,Snook Industries,SNI,basicStructuralElements,BSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,0.5,10,15000,NCC,1,1663781156760,1664213156760,PENDING

