ContractNaturalId,PlanetNaturalId,PlanetName,CreatorCompanyName,CreatorCompanyCode,MaterialName,MaterialTicker,MaterialCategory,MaterialWeight,MaterialVolume,MaterialAmount,Price,PriceCurrency,DeliveryTime,CreationTimeEpochMs,ExpiryTimeEpochMs,MinimumRating
39086,UV-351a,Katoa,ScorpiumEnterprises,SES,galerite,GAL,79f3917448cc4f6034ece865c41aea34,2.509999990463257,1,170,12000,CIS,3,1664193244490,1664366044490,PENDING
39025,UV-351a,Katoa,Cheesy Food Manufactorum,CFM,proteinPaste,PPA,510e7751c0eb6a51fd0fa73565365d1c,2,1,72,4000,CIS,3,1664121117543,1664553117543,PENDING
39015,UV-351a,Katoa,Peregrine Light Ag Industries,PLG,pioneerLuxuryDrink,COF,8a0bd8b6a329c3d632da9da63c818b3d,0.10000000149011612,0.10000000149011612,20,9000,CIS,2,1664105106973,1664537106973,PENDING
39014,UV-351a,Katoa,Peregrine Light Ag Industries,PLG,pioneerLuxuryDrink,COF,8a0bd8b6a329c3d632da9da63c818b3d,0.10000000149011612,0.10000000149011612,20,9000,CIS,2,1664105105911,1664537105911,PENDING
39013,UV-351a,Katoa,Peregrine Light Ag Industries,PLG,pioneerLuxuryDrink,COF,8a0bd8b6a329c3d632da9da63c818b3d,0.10000000149011612,0.10000000149011612,100,45000,CIS,2,1664105092747,1664537092747,PENDING
39011,UV-351a,Katoa,Peregrine Light Ag Industries,PLG,pioneerLuxuryDrink,COF,8a0bd8b6a329c3d632da9da63c818b3d,0.10000000149011612,0.10000000149011612,100,45000,CIS,2,1664105089882,1664537089882,PENDING
38958,UV-351a,Katoa,DarkFuel,DAF,hydrogen,H,54dec1e42eba44dda423dd774393326a,0.07000000029802322,1,100,9500,CIS,3,1664041064080,1664473064080,PENDING
38836,UV-351a,Katoa,Zen Interstellar Propellant,ZIPP,pioneerClothing,OVE,3f047ec3043bdd795fd7272d6be98799,0.019999999552965164,0.02500000037252903,20,2300,CIS,1,1663890498234,1664322498234,PENDING
38835,UV-351a,Katoa,Zen Interstellar Propellant,ZIPP,pioneerClothing,OVE,3f047ec3043bdd795fd7272d6be98799,0.019999999552965164,0.02500000037252903,20,2300,CIS,1,1663890496582,1664322496582,PENDING
38805,UV-351a,Katoa,DarkFuel,DAF,hydrogen,H,54dec1e42eba44dda423dd774393326a,0.07000000029802322,1,100,9500,CIS,3,1663854030624,1664286030624,PENDING

