ContractNaturalId,PlanetNaturalId,PlanetName,CreatorCompanyName,CreatorCompanyCode,MaterialName,MaterialTicker,MaterialCategory,MaterialWeight,MaterialVolume,MaterialAmount,Price,PriceCurrency,DeliveryTime,CreationTimeEpochMs,ExpiryTimeEpochMs,MinimumRating
78358,UV-796b,Proxion,Goods on Time,GOT,drinkingWater,DW,3f047ec3043bdd795fd7272d6be98799,0.10000000149011612,0.10000000149011612,1,250000,NCC,3,1663964445843,1664828445843,PENDING
78357,UV-796b,Proxion,Goods on Time,GOT,drinkingWater,DW,3f047ec3043bdd795fd7272d6be98799,0.10000000149011612,0.10000000149011612,1,250000,ICA,3,1663964442648,1664828442648,PENDING
78356,UV-796b,Proxion,Goods on Time,GOT,drinkingWater,DW,3f047ec3043bdd795fd7272d6be98799,0.10000000149011612,0.10000000149011612,1,250000,AIC,3,1663964422659,1664828422659,PENDING
78355,UV-796b,Proxion,Goods on Time,GOT,drinkingWater,DW,3f047ec3043bdd795fd7272d6be98799,0.10000000149011612,0.10000000149011612,1,250000,CIS,3,1663964417819,1664828417819,PENDING
78330,UV-796b,Proxion,KumaBear Commodities,KUMA,drinkingWater,DW,3f047ec3043bdd795fd7272d6be98799,0.10000000149011612,0.10000000149011612,1,250000,NCC,3,1663952125954,1664211325954,F
78329,UV-796b,Proxion,KumaBear Commodities,KUMA,drinkingWater,DW,3f047ec3043bdd795fd7272d6be98799,0.10000000149011612,0.10000000149011612,1,250000,ICA,3,1663952121143,1664211321143,F
78328,UV-796b,Proxion,KumaBear Commodities,KUMA,drinkingWater,DW,3f047ec3043bdd795fd7272d6be98799,0.10000000149011612,0.10000000149011612,1,250000,CIS,3,1663952114637,1664211314637,F
78327,UV-796b,Proxion,KumaBear Commodities,KUMA,drinkingWater,DW,3f047ec3043bdd795fd7272d6be98799,0.10000000149011612,0.10000000149011612,1,250000,AIC,3,1663952110099,1664211310099,F
78326,UV-796b,Proxion,Hanseatic League,HSL,drinkingWater,DW,3f047ec3043bdd795fd7272d6be98799,0.10000000149011612,0.10000000149011612,1,250000,ICA,3,1663951342215,1664210542215,F
78325,UV-796b,Proxion,Hanseatic League,HSL,drinkingWater,DW,3f047ec3043bdd795fd7272d6be98799,0.10000000149011612,0.10000000149011612,1,250000,AIC,3,1663951336257,1664210536257,F
78324,UV-796b,Proxion,Hanseatic League,HSL,drinkingWater,DW,3f047ec3043bdd795fd7272d6be98799,0.10000000149011612,0.10000000149011612,1,250000,NCC,3,1663951322562,1664210522562,F
78322,UV-796b,Proxion,Hanseatic League,HSL,drinkingWater,DW,3f047ec3043bdd795fd7272d6be98799,0.10000000149011612,0.10000000149011612,1,250000,CIS,3,1663951244937,1664210444937,F
78321,UV-796b,Proxion,Zintral Farms,ZFM,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,1,250000,CIS,3,1663950485210,1664382485210,F
78299,UV-796b,Proxion,Momentum Management,MOMO,cottonRaw,RCO,510e7751c0eb6a51fd0fa73565365d1c,0.949999988079071,1,10,4500,CIS,1,1663930698307,1664103498307,PENDING
78298,UV-796b,Proxion,Momentum Management,MOMO,cottonRaw,RCO,510e7751c0eb6a51fd0fa73565365d1c,0.949999988079071,1,10,4500,CIS,1,1663930697236,1664103497236,PENDING
78296,UV-796b,Proxion,Momentum Management,MOMO,cottonRaw,RCO,510e7751c0eb6a51fd0fa73565365d1c,0.949999988079071,1,10,4500,CIS,1,1663930695257,1664103495257,PENDING
78295,UV-796b,Proxion,Momentum Management,MOMO,cottonRaw,RCO,510e7751c0eb6a51fd0fa73565365d1c,0.949999988079071,1,10,4500,CIS,1,1663930694440,1664103494440,PENDING
78294,UV-796b,Proxion,Momentum Management,MOMO,cottonRaw,RCO,510e7751c0eb6a51fd0fa73565365d1c,0.949999988079071,1,10,4500,CIS,1,1663930693346,1664103493346,PENDING
78223,UV-796b,Proxion,Smelting & Carbonisation Ring,SCR,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,500,47500,CIS,3,1663870023093,1664302023093,PENDING
78222,UV-796b,Proxion,Smelting & Carbonisation Ring,SCR,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,500,47500,CIS,3,1663870022093,1664302022093,PENDING

