ContractNaturalId,PlanetNaturalId,PlanetName,CreatorCompanyName,CreatorCompanyCode,MaterialName,MaterialTicker,MaterialCategory,MaterialWeight,MaterialVolume,MaterialAmount,Price,PriceCurrency,DeliveryTime,CreationTimeEpochMs,ExpiryTimeEpochMs,MinimumRating
58859,VH-331a,Promitor,Glitched_inc,G1TH,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,100,7000,ICA,1,1664011564688,1664270764688,PENDING
58855,VH-331a,Promitor,Paragen,PAR,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,50,3200,ICA,17,1664009935220,1666169935220,PENDING
58836,VH-331a,Promitor,SexualClimax,SXCX,nylon,NL,7028d7d532ccd4c6c878b069e7bbb634,1.1299999952316284,1,4,9999,ICA,1,1663979715251,1664066115251,PENDING
58834,VH-331a,Promitor,SexualClimax,SXCX,pioneerLuxuryDrink,COF,8a0bd8b6a329c3d632da9da63c818b3d,0.10000000149011612,0.10000000149011612,100,35000,ICA,1,1663979663086,1664066063086,PENDING
58826,VH-331a,Promitor,WorvTech Industries,WTI,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,30,2650,ICA,3,1663970333502,1664229533502,PENDING
58819,VH-331a,Promitor,Erenath Aspire,ERAS,drinkingWater,DW,3f047ec3043bdd795fd7272d6be98799,0.10000000149011612,0.10000000149011612,100,6500,ICA,3,1663958629952,1664045029952,PENDING
58812,VH-331a,Promitor,Emergent Enterprises Co,EECO,pioneerLuxuryDrink,COF,8a0bd8b6a329c3d632da9da63c818b3d,0.10000000149011612,0.10000000149011612,25,9500,ICA,3,1663940996210,1664372996210,PENDING
58811,VH-331a,Promitor,Emergent Enterprises Co,EECO,pioneerLuxuryDrink,COF,8a0bd8b6a329c3d632da9da63c818b3d,0.10000000149011612,0.10000000149011612,50,17500,ICA,3,1663940978833,1664372978833,PENDING
58632,VH-331a,Promitor,Ama Usa An,AMAU,nutrientSolution,NS,9b32ea2333917ee2632ba7ae7675643f,0.6000000238418579,0.5,100,17000,ICA,1,1663785947066,1664217947066,PENDING
58551,VH-331a,Promitor,Envy Growth,NVGO,magnesium,MG,ef1d03e7ef924395c2173fc4e4ee8a6f,0.27000001072883606,0.1599999964237213,100,9000,ICA,1,1663737240804,1664082840804,PENDING
58117,VH-331a,Promitor,Drax Industries,DRAX,nutrientSolution,NS,9b32ea2333917ee2632ba7ae7675643f,0.6000000238418579,0.5,400,90000,ICA,1,1663349253059,1664213253059,PENDING
58116,VH-331a,Promitor,Drax Industries,DRAX,nutrientSolution,NS,9b32ea2333917ee2632ba7ae7675643f,0.6000000238418579,0.5,400,90000,ICA,1,1663349251962,1664213251962,PENDING
58070,VH-331a,Promitor,Drax Industries,DRAX,nutrientSolution,NS,9b32ea2333917ee2632ba7ae7675643f,0.6000000238418579,0.5,400,90000,ICA,1,1663317938522,1664181938522,PENDING

